index,isbn13,title,tags
17,9780006490456,Witness for the Prosecution & Selected Plays,"englishdrama.newly-jacket edit design to celebr the 50th anniversari of christi s faultlessli plot wit for the prosecut and other outstand plays. the perfect complement to the latest edit of the mousetrap and select play (50th aniversari edition). headlin thi book is wit for the prosecut christi s highli success stage play which won the new york drama critic circl award for best foreign play. a stun courtroom drama, it tell the stori of a scheme wife testifi against her husband in a shock murder trial. the wild beauti of a seasid hous perch high on the devonshir river tern provid a stun back-drop in toward zero as a psychopath murder home in on the unsuspect victims. passion, murder and love are the deadli ingredi in verdict, make it one of christi s more unusu thriller and prompt her to label it the best play i have written with the except of wit for the prosecut . go back for murder tell the stori of the young and feisti carla who, orphan at the tender age of five, discov her mother wa impris for murder her father and determin to prove her innocence.agathachristi"
18,9780006496434,The Little House,"countrylife.it wa easi for elizabeth. she marri the man she loved. it wa harder for ruth. she marri elizabeth' son and then found that, somehow, she could never quit measur up. thi thriller examin what women want and what they fear, as ruth confront the shift border of her own sanity.philippagregori"
19,9780006496878,Mystical Paths,englishfiction.1968 find nichola darrow wrestl with person problems. how can he marri rosalind when he is unabl to avoid promiscuity? how can he becom a priest when he find it so difficult to live as one? and can he break hi danger depend on hi father?susanhowatch
20,9780006496892,Glittering Images,"englishfiction.it is 1937, and charl ashworth, a canon to the archbishop of canterbury, is sent to untangl a web of self-delus and corrupt at the episcop palac of the charismat bishop of starbridge.susanhowatch"
21,9780006496922,Glamorous Powers,"clergy.reissu of the author' most famou and well-lov work, the starbridg series, six self-contain yet interconnect novel that explor the histori of the church of england through the 20th century.susanhowatch"
22,9780006498865,The Mad Ship,"fantasyfiction.fantasi master robin hobb deliv the stun second volum of her liveship trader trilogy, return to the timeless citi of bingtown, where pirat now plagu the coast and the dread slave trade flourishes. althea vestrit doesnt have time to be afraid, for her famili newli awaken liveship, vivacia, ha been seiz by the ruthless pirat kennit. so althea hatch a bold plan. but to carri it out, she must recruit a liveship that ha alreadi slain two crew -- and is said to be insane.robinhobb"
23,9780006499169,Post Captain,"aubrey,jack(fictitiouscharacter).thi tale begin with jack aubrey arriv home from hi exploit in the mediterranean to find england at peac follow the treati of amiens. he and hi friend stephen maturin, surgeon and secret agent, begin to live the live of countri gentlemen, hunting, entertain and enjoy more amor adventures. their comfort existence, however, is cut short when jack is overnight reduc to a pauper with enough debt to keep him in prison for life. he flee to the contin to seek refuge: instead he find himself a hunt fugit as napoleon ha order the intern of all englishmen in france. aubrey' adventur in escap from franc and the debtors' prison will grip the reader as fast as hi unequal action at sea.patricko'brian"
24,9780006499268,The Reverse of the Medal,"adventurestories.in thi book, jack aubrey return from hi duti protect whaler off the south american coast and is persuad by a casual acquaint to make invest in the citi on the strength of supposedli certain information. from there he is led into the half-world of the london crimin underground and of govern espionag - the provinc of hi friend, stephen maturin.patricko'brian"
25,9780006499626,Miss Marple,"detectiveandmysterystories,english.miss marpl featur in 20 short stories, publish in a number of differ collect in britain and america. present here in their order of publication, miss marpl use her uniqu insight to deduc the truth about a seri of unsolv crimes.agathachristi"
26,9780006511489,The Years of Rice and Salt,"blackdeath.hail by ""the new york time book review"" as ""eye-opening, "" thi altern histori of the last 600 year begin as the black death kill nearli everyon in europe, and china, india, and the nation of islam now control the world.kimstanleyrobinson"
27,9780006512677,Spares,"humancloning.spar - human clones, the ultim health insurance. an eye for an eye - but some peopl are do all the taking. the stori of jack randall: burnt-out, drop out, and way overdrawn at the luck bank. but as caretak on a spare farm, he still ha a choice, and it might make a difference.michaelmarshallsmith"
28,9780006513087,Gravity,"sciencefiction.emma watson a research physician ha been train for the mission of a lifetime: to studi live organ in the micrograv of space. but the true and lethal natur of the experi ha not been reveal to nasa and onc aboard the space station thing start to go wrong. a cultur of single-cel archaeons, gather from the deep sea, begin to rapidli multipli and infect the crew - with deadli and agonis results. as her estrang husband and ground crew at nasa work against the clock to launch a rescu emma stuggl to contain the lethal microbe. but with the contagion threaten earth' population, there are those who would leav the astronaut strand in orbit, quarantin aboard the station.tessgerritsen"
29,9780006514640,The Wise Woman,"greatbritain.alon and vulnerable, ali join a nunneri in an attempt to escap poverti but find herself thrown back into the outsid world when henri viii' wrecker destroy her sanctuary. with noth but her looks, her magic and her own instinct cunning, ali ha to tread a peril path between the faith of her childhood and her own femal power. when she fall in love with hugo, the feudal lord and anoth woman' husband, she dip into witchcraft to defeat her rival and to win her lover, onli to find that magic make a poor servant but a domin master. sinc heresi against the new church mean the stake, and witchcraft the rope, alys' danger is mortal. a woman' power are not longer safe to use...philippagregori"
30,9780006514855,Girls' Night in,"americanfiction.'girls' night in' featur stori about grow up, grow out of, move out, move on, fall apart and get it all together. so turn off your cell phone and curl up on the couch: thi is one 'girls' night in' you won't want to miss.jessicaadams;chrismanby;fionawalk"
31,9780006545866,The White Album,"americanessays.thi collect of essay recount what took place on the long morn after the 1960s, when everyon wa come down from their particular bad trip. didion observ the drama that explod as america goe into collect detox: the mother abandon her five-year-old daughter on the central reserv of interst 5; huey newton and the black panther preach from their cells; students, in unconsci parody, simul the disaffect of the 1960s.joandidion"
32,9780006550433,The Bonesetter's Daughter,"china.tel the stori of three gener of chines women, begin at the turn of the century.amytan"
33,9780006551393,The Lexus and the Olive Tree,"capitalism.half of thi new, post-cold war world is intent on build a better lexus, on streamlin their societi and economi for the global marketplace, while the other half is lock in element struggl over who own which oliv tree, which strip of land.thomasl.friedman"
34,9780006551812,'Tis,"ireland.from the puliz prize-win author of the #1 ""new york times"" bestsel ""angela' ashes"" frank mccourt' gloriou childhood memoir, ""angela' ashes, "" ha been love and celebr by reader everywhere. it won the nation book critic circl award, the ""lo angel times"" book award and the pulitz prize. rare ha a book so swiftli found it place on the literari landscape. and now we have ""'tis, "" the stori of frank' american journey from impoverish immigr to brilliant teacher and raconteur. frank land in new york at age nineteen and get a job at the biltmor hotel, where he immedi encount the vivid hierarchi of thi ""classless country,"" and then is draft into the armi and is sent to germani to train dog and type reports. it is frank' incompar voic that render these experi spellbinding. when frank return to america in 1953, he work on the docks, alway resist what everyon tell him. he know that he should be get an education, and though he left school at fourteen, he talk hi way into new york university. there, he fall in love with the quintessenti yanke and tri to live hi dream. but it is not until he start to teach that frank find hi place in the world.frankmccourt"
35,9780006646006,Ocean Star Express,"juvenilefiction.jo and hi parent are enjoy a summer holiday by the sea at the ocean star hotel. the sky is bright blue, the sun shine and joe love all that the seasid ha to offer. but when the fog roll in and rain fall joe begin to wish that he wa back at home again. thing change, however, when the owner of the hotel invit joe to share in a magic world, onli a few step away. the loft is black as night but then abov joe' head a thousand tini star begin to sparkl and in the distanc he hear the chug-chug-chug of a model train. a whole world is soon to open up befor joe' eyes, a world of snow-cap mountains, great deserts, and rock fish boats.markhaddon;petersutton"
36,9780006754893,A Small Pinch of Weather,"children'sstories,english.a magic and fantast collect of earli stori by one of the most origin children' author of the 20th century. for 8-11 year olds.joanaiken"
38,9780007103676,Koko,malefriendship.koko is peter straub' foray into the psycholog horror of the vietnam war.peterstraub
39,9780007105045,Tree and Leaf,"literarycollections.""th two work 'on fairy-stories' and 'leaf by niggle' were first brought togeth to form the book 'tree and leaf' in 1964. in thi new edit a third element is added: the poem mythopoeia, the make of myths...""--preface.johnronaldreueltolkien"
40,9780007111503,Partners in Crime,"beresford,tommy(fictitiouscharacter).th famou volum of tommi & tuppenc link short stories, reissu in a new look to coincid with the brand new seri of tommi & tuppenc bbc movies. tommi and tuppenc beresford were restless for adventure, so when they were ask to take over blunt s intern detect agency, they leapt at the chance. after their triumphant recoveri of a pink pearl, intrigu case kept on come their way: a stab on sunningdal golf course; cryptic messag in the person column of newspapers; and even a box of poison chocolates.agathachristi"
41,9780007113804,Murder in Mesopotamia,"detectiveandmysterystories.an archaeologist' wife is murder on the shore of the river tigri in iraq... it wa clear to ami leatheran that someth sinist wa go on at the hassanieh dig in iraq; someth associ with the presenc of 'love louise', wife of celebr archaeologist dr leidner. in a few days' time hercul poirot wa due to drop in at the excav site. but with louis suffer from terrifi hallucinations, and tension within the group becom almost unbearable, poirot might just be too late...agathachristi"
42,9780007116263,"The Lord of the Rings, the Return of the King","imaginarywarsandbattles.a visual guid to the third in the lord of the ring movi trilogy. a large-format, full-colour guid to the characters, places, landscapes, artefacts, battles, and costum as seen in the film, it featur images, inform text and special commiss extras.judefish"
43,9780007117536,All Families are Psychotic,"dysfunctionalfamilies.on the eve of the next space shuttl mission, a divid famili come together... warm, witti and wise, all famili are psychot is coupland at the veri top of hi form: 'irresist hilarious, uniqu and wonderful' independ on sunday in a cheap motel an hour from cape canaveral, janet drummond take her medication, and doe a rapid talli of the whereabout of her children. wade ha spent the night in jail; suicid bryan is due to arriv at ani moment with hi vowel-fre girlfriend, shw; and then there is sarah, 'a bolt of lightn frozen in midflash' -- here in orlando to be the star of friday' shuttl mission. with janet' ex-husband and hi trophi wife also in town, janet spend a moment contempl her family, and where it all went wrong. or did it?douglascoupland"
44,9780007119332,Death in the Clouds,"detectiveandmysterystories.a woman is kill by a poison dart in the enclos confin of a commerci passeng plane... from seat no.9, hercul poirot wa ideal place to observ hi fellow air passengers. over to hi right sat a pretti young woman, clearli infatu with the man opposite; ahead, in seat no.13, sat a countess with a poorly-conc cocain habit; across the gangway in seat no.8, a detect writer wa be troubl by an aggress wasp. what poirot did not yet realiz wa that behind him, in seat no.2, sat the slumped, lifeless bodi of a woman.agathachristi"
45,9780007119356,Appointment with Death,"detectiveandmysterystories.a repugn amercian widow is kill dure a trip to petra... among the tower red cliff of petra, like some monstrou swollen buddha, sat the corps of mr boynton. a tini punctur mark on her wrist wa the onli sign of the fatal inject that had kill her. with onli 24 hour avail to solv the mystery, hercul poirot recal a chanc remark he'd overheard back in jerusalem: 'you see, don't you, that she' got to be killed?' mr boynton was, indeed, the most detest woman he'd ever met...agathachristi"
46,9780007120680,Hallowe'en Party,"poirot,hercule(fictitiouscharacter).no one believ a littl girl when she insist that she ha wit a murder until she herself turn up drowned, and hercul poirot set out to catch the killer.agathachristi"
47,9780007120697,Hercule Poirot's Christmas,"christmasstories.on the night befor christmas, cruel, tyrannical, filthy-rich simeon lee is found in hi lock bedroom with hi throat cut. now hercul poirot must put hi deduct power to the test to solv one of hi most chill cases--and to prevent a clever killer from spill more blood.agathachristi"
48,9780007120819,The Big Four,"detectiveandmysterystories.a ruthless intern cartel seek world domination... frame in the doorway of poirot' bedroom stood an uninvit guest, coat from head to foot in dust. the man' gaunt face stare for a moment, then he sway and fell. who wa he? wa he suffer from shock or just exhaustion? abov all, what wa the signific of the figur 4, scribbl over and over again on a sheet of paper? poirot find himself plung into a world of intern intrigue, risk hi life to uncov the truth about 'number four'.agathachristi"
49,9780007120864,The Thirteen Problems,"detectiveandmysterystories,english.th tuesday night club is a venu where local challeng miss marpl to solv recent crimes... one tuesday even a group gather at miss marple' hous and the convers turn to unsolv crimes... the case of the disappear bloodstains; the thief who commit hi crime twice over; the messag on the death-b of a poison man which read 'heap of fish'; the strang case of the invis will; a spiritualist who warn that 'blue geranium' meant death... now pit your wit against the power of deduct of the 'tuesday night club'.agathachristi"
50,9780007120871,They Do it with Mirrors,"americanfiction.a man is shot at in a juvenil reform home - but someon els dies... miss marpl sens danger when she visit a friend live in a victorian mansion which doubl as a rehabiliti centr for delinquents. her fear are confirm when a youth fire a revolv at the administrator, lewi serrocold. neither is injured. but a mysteri visitor, mr gilbrandsen, is less fortun - shot dead simultan in anoth part of the building. pure coincidence? miss marpl think not, and vow to discov the real reason for mr gilbrandsen' visit.agathachristi"
51,9780007120963,A Murder is Announced,"detectiveandmysterystories,english.th villag of chip cleghorn are amaz by an advertis in the local paper which read ""a murder is announc and will take place on friday octob 29th, at littl paddock at 6.30pm. unabl to resist, a crowd begin to gather at the hous at the appoint time. but when a man is kill in what look like an attempt robbery, miss marpl becom involved.agathachristi"
52,9780007120987,The Mirror Crack'd from Side to Side,"marple,jane(fictitiouscharacter).on minute, silli heather badcock had been gabbl on at her movi idol, the glamor marina gregg. the next, heather suffer a massiv seizure. but for whom wa the deadli poison realli intended? marina s frozen express suggest she had wit someth horrific. but, while other search for materi evidence, jane marpl conduct a veri differ investig into human nature.agathachristi"
53,9780007121007,Mrs McGinty's Dead,"belgians.an old widow is brutal kill in the parlour of her cottage... mr mcginti die from a brutal blow to the back of her head. suspicion fell immedi on her shifti lodger, jame bentley, whose cloth reveal trace of the victim' blood and hair. yet someth wa amiss: bentley just didn't look like a murderer. poirot believ he could save the man from the gallow - what he didn't realis wa that hi own life wa now in great danger...agathachristi"
54,9780007121014,Taken at the Flood,"fiction.a few week after marri an attract young widow, gordon cload is tragic kill by a bomb blast in the london blitz. overnight, the former mr underhay find herself in sole possess of the cload famili fortune. shortli afterwards, hercul poirot receiv a visit from the dead man s sister-in-law who claim she ha been warn by spirit that mr underhay s first husband is still alive. poirot ha hi suspicion when he is ask to find a miss person guid onli by the spirit world. yet what mystifi poirot most is the woman s true motiv for approach him&agathachristi"
55,9780007121021,The Hollow,"detectiveandmysterystories.luci angkatel invit hercul poirot to lunch. to teas the great detective, her guest stage a mock murder besid the swim pool. unfortunately, the victim play the scene for real. as hi blood drip into the water, john christow gasp one final word: henrietta . in the confusion, a gun sink to the bottom of the pool. poirot s enquiri reveal a complex web of romant attachments. it seem everyon in the drama is a suspect and each a victim of love.agathachristi"
56,9780007121106,Third Girl,"belgians.a perplex girl think she might have kill someone... three singl girl share the same london flat. the first work as a secretary; the second wa an artist; the third who came to poirot for help, disappear convinc she wa a murderer. now there were rumour of revolvers, flick-kniv and blood stains. but, without hard evidence, it would take all poirot' tenac to establish whether the third girl wa guilti innoc or insane...agathachristi"
57,9780007122585,The Secret of Chimneys,"battle,superintendent(fictitiouscharacter).a young drifter find more than he bargain for when he agre to deliv a parcel to an english countri house...agathachristi"
58,9780007124015,The Lord of the Rings,"baggins,frodo(fictitiouscharacter).sauron ha gather the ring of power - the mean by which he will be abl to rule the world. all he need now is the rule ring, which ha fallen into the hand of the hobbit bilbo baggins. frodo baggin is entrust to foil sauron' plans.j.r.r.tolkien"
59,9780007126903,The Metaphysical Club,"cambridge(mass.).in an absorb narr about person and social history, menand discuss the metaphys club, an inform group that met in cambridge, massachusetts, in 1872, to talk about ideas. member includ oliv wendel holmes, jr., william james, and charl sander peirce. 21 photos.louismenand"
61,9780007129652,Wilkins' Tooth,"businessenterprises.own back limitedreveng arranged, price accord to task, all difficult task undertaken, treasur hunted, etc. it seem like a marvel scheme at the time! frank and jess had set up the busi becaus they need money - their pocket-money had been stop just when frank owe buster knell ten pence. their father had put a quick stop to errand run, so whi not tri someth that wa bad instead? offer to do dread thing that other peopl didn't dare to do? so they pin up the notic on the potting-sh and wait for customers. but of course, nothing' ever that straightforward.dianawynnejon"
62,9780007130313,Cut,"emotionalproblems.fifteen-year old calli is so withdrawn that she' not speak to anyon - includ her therapist at sea pines, known to it guest as 'sick minds' - the residenti treatment facil where her parent and doctor send her after discov that she cut herself. her stori unfold primarili through dramat monologues, gradual reveal the famili turmoil that led to her self-destruct behaviour.patriciamccormick"
65,9780007136599,The Fellowship of the Ring,"baggins,frodo(fictitiouscharacter).tolkien' classic fantasi about the quest to save middle-earth--and the basi for peter jackson' academi award(-win film trilogy--i now avail in these young reader' editions. each book of the trilog is avail individually, or togeth in a three-volum paperback box set.johnronaldreueltolkien;alanle"
66,9780007137336,Lirael,"fantasyfiction.when a danger necromanc threaten to unleash a long-buri evil, lirael and princ sameth are drawn into a battl to save the old kingdom and reveal their true destinies. suggest level: secondary.garthnix"
67,9780007149124,Tales from the Perilous Realm,"fairytales,english.nev befor publish in a singl volume, tolkien' four novella (""farmer gile of ham, leaf by niggle, smith of wootton major,"" and ""roverandom"") and one book of poem (""the adventur of tom bombadil"") are gather togeth in a fulli illustr set.johnronaldreueltolkien"
68,9780007149612,Breaking Open the Head,hallucinogenicdrugs.a new 'the door of perception' for the 21st century? a visionari journey from cynic to shaman by a brilliant young us writer.danielpinchbeck
69,9780007149827,The Yiddish Policemen's Union,"fiction.for sixti years, jewish refuge and their descend have prosper in the feder district of sitka, a ""temporary"" safe haven creat in the wake of revel of the holocaust and the shock 1948 collaps of the fledgl state of israel. proud, grateful, and long to be american, the jew of the sitka district have creat their own littl world in the alaskan panhandle, a vibrant, gritty, soulful, and complex frontier citi that move to the music of yiddish. for sixti year they have been left alone, neglect and half-forgotten in a backwat of history. now the district is set to revert to alaskan control, and their dream is come to an end: onc again the tide of histori threaten to sweep them up and carri them off into the unknown. but homicid detect meyer landsman of the district polic ha enough problem without worri about the upcom reversion. hi life is a shambles, hi marriag a wreck, hi career a disaster. he and hi half-tlingit partner, berko shemets, can't catch a break in ani of their outstand cases. landsman' new supervisor is the love of hi life—and also hi worst nightmare. and in the cheap hotel where he ha wash up, someon ha just commit a murder—right under landsman' nose. out of habit, obligation, and a mysteri sens that it somehow offer him a shot at redeem himself, landsman begin to investig the kill of hi neighbor, a former chess prodigy. but when word come down from on high that the case is to be drop immediately, landsman soon find himself contend with all the power forc of faith, obsession, hopefulness, evil, and salvat that are hi heritage—and with the unfinish busi of hi marriag to bina gelbfish, the one person who understand hi darkest fears. at onc a grip whodunit, a love story, an homag to 1940 noir, and an explor of the mysteri of exil and redemption, the yiddish policemen' union is a novel onli michael chabon could have written.michaelchabon"
70,9780007150304,"Beware, Princess Elizabeth",children'sstories.a matter of life and death - and the throne of englandcarolynmey
71,9780007151240,The Family Way,"parenthood.it should be the most natur thing in the world. but in toni parsons' latest bestseller, three coupl discov that mother natur can be one hell of a bitch.tonyparson"
72,9780007151677,Endless Night,"fiction.gipsi s acr wa a truli beauti upland site with view out to sea and in michael roger it stir a child-lik fantasy. there, among the dark fir trees, he plan to build a house, find a wonder girl and live happili ever after, yet, as he left the village, a shadow of menac hung over the land. for thi wa the place where accid happened. perhap michael should have heed the local warnings: there s no luck for them as meddl with gipsi s acr .agathachristi"
73,9780007153589,How to be Alone,"literarycollections.'th harper' essay' is reprint in thi volum alongsid person essay and painstaking, often funni reportage. although hi subject rang widely, each piec wrestl with the eros of civic life and privat dignity, and the hidden persist of loneli in postmodern america.jonathanfranzen"
74,9780007154845,The Mysterious Mr. Quin,"detectiveandmysterystories.a mysteri stranger appear at a new year' eve party, becom the enigmat sleuth sidekick to the snobbish mr satterthwaite... so far, it had been a typic new year' eve hous party. but mr satterthwait - a keen observ of human natur - sens that the real drama of the even wa yet to unfold. so it prove when a mysteri stranger arriv after midnight. who wa thi mr quin? and whi did hi presenc have such a pronounc effect on eleanor portal, the woman with the dyed-black hair?agathachristi"
75,9780007154883,The Listerdale Mystery,"detectiveandmysterystories.a select of mysteries, some light-hearted, some romantic, some veri deadly... twelv tantal cases... the curiou disappear of lord listerdale; a newlywed' fear of her ex-fiance; a strang encount on a train; a domest murder investigation; a wild man' sudden person change; a retir inspector' hunt for a murderess; a young woman' imperson of a duchess; a necklac hidden in a basket of cherries; a mysteri writer' arrest for murder; an astonish marriag proposal; a soprano' hatr for a baritone; the case of the rajah' emerald. all have one thing in common: the skil hand of agatha christie.agathachristi"
76,9780007158058,The Real Trial of Oscar Wilde,"biography&autobiography.oscar wild had one of literari history' most explos love affair with lord alfr ""bosie"" douglas. in 1895, bosie' father, the marquess of queensberry, deliv a note to the albemarl club address to ""oscar wild pose as sodomite."" with bosie' encouragement, wild su the marquess for libel. he not onli lost but he wa tri twice for ""gross indecency"" and sent to prison with two years' hard labor. with thi public of the uncensor trial transcripts, reader can for the first time in more than a centuri hear wild at hi most articul and brilliant. the real trial of oscar wild document an alarmingli swift fall from grace; it is also a suprem move testament to the right to live, work, and love as one' heart dictates.merlinholland"
77,9780007158515,I Can Read with Me Eyes Shut!,"authors,american.nonsens rhyme story. 4 yrs+dr.seuss"
78,9780007158522,"Oh, the Places You'll Go!",adventurestories.from bang-up and hang-up to lurch and slumps. dr. seuss take a hilari look at the mishap and misadventur that life may have in store for us.dr.seuss
79,9780007162994,If I Die in a Combat Zone,"vietnamwar,1961-1975.perhap the best book to emerg from the vietnam war -- reissu alongsid five other jewel of the flamingo backlist from the 1970s. first publish in1973, thi intens person novel about one foot soldier' tour of duti in vietnam establish tim o'brien' reput as the outstand chronicl of the vietnam experi for a gener of americans. from basic train to the front line and back again, he take the reader on an unforgett journey -- walk the minefield of my lai, fight the heat and the sniper in an alien land, crawl into the ghostli tunnel -- as he explor the ambigu of manhood and moral in a war no one believ in.timo'brien"
80,9780007171996,The Return of the King,"baggins,frodo(fictitiouscharacter).th greatest fantasi epic of our time while the evil might of the dark lord sauron swarm out to conquer all middle-earth, frodo and sam struggl deep into mordor, seat of sauron' power. to defeat the dark lord, the accurs ring of power had to be destroy in the fire of mount doom. but the way wa imposs hard, and frodo wa weakening. weigh down by the compuls of the ring he began final to despair. the awesom conclus of j.r.r. tolkien' the lord of the rings, belov by million of reader around the world.j.r.r.tolkien"
81,9780007173020,The Silmarillion,"fiction.design to take fan of the hobbit and the lord of the ring deeper into the myth and legend of middle-earth the silmarillion is an account of the elder days, of the first age of tolkien s world. it is the ancient drama to which the charact in the lord of the ring look back, and in whose event some of them such as elrond and galadriel took part. the tale of the silmarillion are set in an age when morgoth, the first dark lord, dwelt in middle-earth, and the high elv made war upon him for the recoveri of the silmarils, the jewel contain the pure light of valinor. includ in the book are sever shorter works. the ainulindal is a myth of the creation and in the valaquenta the natur and power of each of the god is described. the akallabeth recount the downfal of the great island kingdom of numenor at the end of the second age and of the ring of power tell of the great event at the end of the third age, as narrat in the lord of the rings. thi pivot work featur the revised, correct text and includes, by way of an introduction, a fascin letter written by tolkien in 1951 in which he give a full explan of how he conceiv the earli age of middle-earth.""johnronaldreueltolkien;tednasmith"
82,9780007173136,I Wish that I Had Duck Feet,"children'sstories.a boy imagin what it would be like if he had such thing as duck feet, a whale spout, and an elephant' trunk.dr.seuss;barneytobey"
